"X","Id","Titre","Auteurs","Description","Date"
941,378812,"Equivalence Checking Using Cuts and Heaps","Andreas Kuehlmann; Florian Krohm;","This paper presents a veri#cation technique whichis speci#cally targeted to formally comparing large combinational circuits with some structural similarities. The approach combines the application of BDDs with circuit graph hashing, automatic insertion of multiple cut frontiers, and a controlled elimination of false negativeveri#cation results caused by the cuts. Two ideas fundamentally distinguish the presented technique from previous approaches. First, originating from the cut frontiers, multiple BDDs are computed for the internal nets of the circuit, and second, the BDD propagation is prioritized by size and discontinued once a given limit is exceeded. 1 Introduction In recentyears, formal techniques have become widely accepted in practical design methodologies to verify properties of complex systems. The computational complexity of the corresponding algorithms results in a fundamental trade-o# between the generality of the veri#cation model and the size of the designs that can b...","1997-07-04"
942,379396,"Structural Methods for the Synthesis of Speed-Independent Circuits","Alex Kondratyev; Jordi Cortadella;","Most existing tools for the synthesis of asynchronouscircuits from Signal Transition Graphs (STGs) derive the reachability graph for the calculation of logic equations. This paper presents novel methods exclusively based on the structural analysis of the underlying Petri net. This methodology can be applied to any STG that can be covered by State Machines and, in particular, to all live and safe free-choice STGs. Significant improvements with regard to existing structural methods are provided. The new techniques have been implemented in an experimental tool that has been able to synthesize specificationswith over10 27 markings, some of them being non-free choice. 1 Introduction Petri nets (PNs) are a powerful formalism to model concurrent systems. As a model, their most interesting feature is the capability of implicitly describing a vast state space by a succinct representation, which gracefully captures the notions of causality, concurrency and conflict between events. Petri nets...","1997-04-24"
943,380059,"An Implementation of an Efficient Algorithm for Bisimulation Equivalence","Jean-claude Fernandez;","We present an efficient algorithm for bisimulation equivalence. Generally, bisimulation equivalence can be tested in O(mn) for a labeled transition system with m transitions and n states. In order to come up with a more efficient algorithm, we establish a relationship between bisimulation equivalence and the relational coarsest partition problem, solved by Paige & Tarjan in O(m log n) time. Given an initial partition and a binary relation, the problem is to find the coarsest partition compatible with them. Computing bisimulation equivalence can be viewed both as an instance and as a generalization of this problem: an instance, because only the universal partition is considered as an initial partition and a generalization since we want to find a partition compatible with a family of binary relations instead of one single binary relation. We describe how we have adapted the Paige & Tarjan algorithm of complexity O(m log n) to minimize labeled transition systems modulo bisimulation equiva...","2000-04-06"
944,380922,"Incremental CTL Model Checking Using BDD Subsetting","Abelardo Pardo; Gary D. Hachtel;","An automatic abstraction#re#nement algorithm for symbolic CTL model checking is presented. Conservative model checking is thus done for the full CTL language#no restriction is made to the universal or existential fragments. The algorithm begins with conservative veri#cation of an initial abstraction. If the conclusion is negative, it derives a #goal set"" of states which require further resolution. It then successively re#nes, with respect to this goal set, the approximations made in the sub-formulas, until the given formula is veri#ed or computational resources are exhausted. This method applies uniformly to the abstractions based in over-approximation as well as under-approximations of the model. Both the re#nement and the abstraction procedures are based in BDD-subsetting. Note that re#nement procedures which are based on error traces, are limited to overapproximation on the universal fragment # or for language containment#, whereas the goal set method is applicable to all consistent...","1998-08-24"
945,382179,"Modular State Space Analysis of Coloured Petri Nets","Laure Petrucci; Sren Christensen;",". State Space Analysis is one of the most developed analysis methods for Petri Nets. The main problem of state space analysis is the size of the state spaces. Several ways to reduce it have been proposed but cannot yet handle industrial size systems. Large models often consist of a set of modules. Local properties of each module can be checked separately, before checking the validity of the entire system. We want to avoid the construction of a single state space of the entire system. When considering transition sharing, the behaviour of the total system can be captured by the state spaces of modules combined with a Synchronisation Graph. To verify that we do not lose information we show how the full state space can be constructed. We show how it is possible to determine usual Petri Nets properties, without unfolding to the ordinary state space. 1 Introduction State spaces, also called Occurrence Graphs or Reachability Graphs, grow exponentially with respect to the number of...","1999-03-02"
946,384027,"Weak Alternating Automata Are Not That Weak","Moshe Y. Vardi;","Automata on infinit words are used for specification... In this paper we describe a quadratic translation, which circumvents the need for determinization, of Büchi and co-Büchi alternating automata to weak alternating automata. Beyond the independent interest of such a translation, it gives rise to a simple complementation algorithm for nondeterministic Büchi automata.","2000-11-21"
947,384037,"Strong Cyclic Planning Revisited","Marco Daniele; Moshe Y. Vardi; Paolo Traverso;",". Several realistic non-deterministic planning domains require plans that encode iterative trial-and-error strategies, e.g., ""pick up a block until succeed"". In such domains, a certain effect (e.g., action success) might never be guaranteed a priori of execution and, in principle, iterative plans might loop forever. Here, the planner should generate iterative plans whose executions always have a possibility of terminating and, when they do, they are guaranteed to achieve the goal. In this paper, we define the notion of strong cyclic plan, which formalizes in temporal logic the above informal requirements for iterative plans, define a planning algorithm based on model-checking techniques, and prove that the algorithm is guaranteed to return strong cyclic plans when they exist or to terminate with failure when they do not. We show how this approach can be extended to formalize plans that are guaranteed to achieve the goal and do not involve iterations (strong plans) and plan...","2000-12-04"
948,384587,"Reinforcement Learning I: Introduction","null","Introduction Richard S. Sutton and Andrew G. Barto c fl All rights reserved [In which we try to give a basic intuitive sense of what reinforcement learning is and how it differs and relates to other fields, e.g., supervised learning and neural networks, genetic algorithms and artificial life, control theory. Intuitively, RL is trial and error (variation and selection, search) plus learning (association, memory). We argue that RL is the only field that seriously addresses the special features of the problem of learning from interaction to achieve long-term goals.] 1 Learning from Interaction The idea that we learn by interacting with our environment is probably the first to occur to us when we think about the nature of learning. When an infant plays, waves its arms, or looks about, it has no explicit teacher, but it does have a direct sensorimotor connection to its environment. Exercising this connection produces a wealth of infor","1996-12-10"
949,385215,"Coloured Petri Nets Extended with Channels for Synchronous Communication","Niels Damgaard Hansen; Sren Christensen;","This paper shows how Coloured Petri Nets (CP-nets) can be extended to support synchronous communication. We introduce coloured communication channels through which transitions are allowed to communicate complex values. Small examples show how channel communication is convenient for creating compact and comprehensive models. The concepts introduced in this paper originate from the practical use of Petri nets for modelling, and they are formally defined in such a way that they preserve the basic properties of CP-nets. We show how a CP-net with channels can be transformed into a behaviourally equivalent CP-net. This allows us to deduce properties of CP-nets with channels from well-known properties of CP-nets. As an example, we extend the concept of place invariants to cope with CP-nets with channels and show how place invariants can be found. This is done without transforming the CP-nets with channels into their equivalent CP-nets. The reader is assumed to be familiar with th...","1999-04-14"
950,385987,"Debugging Constraint Programs","Ecrc- Ecrc; Micha Meier;","Constraint programming (CP) is in its substance non-algorithmic programming, not last because it is often being applied to problems for which no efficient algorithms exist. A not immediately obvious consequence of this fact is that debugging CP programs is principally different from debugging algorithmic programs, including imperative, functional or Prolog programs. It is also more difficult. Moreover, it is frequently necessary to apply performance debugging to CP programs, which are correct but too slow to be feasible. The whole area of CP debugging is still lacking both methodology and tools to support users in improving their programs. In this paper, we present a paradigm for tracing constraint programs and the design and implementation of Grace, a graphical environment for tracing CLP(FD) programs on top of ECL i PS e . III 1 Introduction Developing CLP applications is a difficult task. This is to a large extent due to the fact that CLP is usually being applied to combinator...","2000-11-28"
951,386081,"Verification of Temporal Properties of Concurrent Systems","Dansk Sammenfatning;","This thesis is concerned with the verification of concurrent systems. It provides methods and techniques for reasoning about temporal properties as described by assertions from an expressive modal logic - the modal ""-calculus. It describes a compositional approach to verifying whether processes satisfy assertions from the logic where processes are drawn from a process language encompassing CCS, CSP and related process languages. This compositional approach is based on the notion of a reduction which transforms a satisfaction problem for a composite process into satisfaction problems for the subcomponents. Although the modal ""-calculus is very expressive from a theoretical point of view, it leaves much to be desired in practical applications. Hence, we introduce an extended version of the modal ""-calculus which is more convenient for expressing properties. Among other things it allows for a compact representation of assertions by simultaneous fixed-points. As a side-effect it provides, using the compositional method, a means for constructing efficient local and global model checkers for automatically dec...","2000-09-12"
952,386741,"The Mutual Exclusion Problem Part II: Statement and Solutions","L. Lamport;","The theory developed in Part I is used to state the mutual exclusion problem and several additional fairness and failure-tolerance requirements. Four ""distributed "" N-process solutions are given, ranging from a solution requiring only one communication bit per process that permits individual starvation, to one requiring about N ! communication bits per process that satisfies every reasonable fairness and failure-tolerance requirement that we can conceive of. Contents 1 Introduction 3 2 The Problem 4 2.1 Basic Requirements . . . . . . . . . . . . . . . . . . . . . . . . 4 2.2 Fairness Requirements . . . . . . . . . . . . . . . . . . . . . . 6 2.3 Premature Termination . . . . . . . . . . . . . . . . . . . . . 8 2.4 Failure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 10 3 The Solutions 14 3.1 The Mutual Exclusion Protocol . . . . . . . . . . . . . . . . . 15 3.2 The One-Bit Solution . . . . . . . . . . . . . . . . . . . . . . 17 3.3 A Digression . . . . . . . . . . . ...","2000-06-26"
953,386841,"Mechanical Verification of Concurrent Systems with TLA","Leslie Lamport; Peter Grnning; Urban Engberg;",". We describe an initial version of a system for mechanically checking the correctness proof of a concurrent system. Input to the system consists of the correctness properties, expressed in TLA (the temporal logic of actions), and their proofs, written in a humanly readable, hierarchically structured form. The system uses a mechanical verifier to check each step of the proof, translating the step's assertion into a theorem in the verifier's logic and its proof into instructions for the verifier. Checking is now done by LP (the Larch Prover), using two di#erent translations---one for action reasoning and one for temporal reasoning. The use of additional mechanical verifiers is planned. Our immediate goal is a practical system for mechanically checking proofs of behavioral properties of a concurrent system; we assume ordinary properties of the data structures used by the system. 1 Introduction TLA, the Temporal Logic of Actions, is a logic for specifying and reasoning about concurrent s...","2000-06-27"
954,387834,"Conformant Planning via Model Checking","Alessandro Cimatti; And Marco Roveri;",". Conformant planning is the problem of nding a sequence of actions that is guaranteed to achieve the goal for any possible initial state and nondeterministic behavior of the planning domain. In this paper we present a new approach to conformant planning. We propose an algorithm that returns the set of all conformant plans of minimal length if the problem admits a solution, otherwise it returns with failure. Our work is based on the planning via model checking paradigm, and relies on symbolic techniques such as Binary Decision Diagrams to compactly represent and eciently analyze the planning domain. The algorithm, called cmbp, has been implemented in the mbp planner. cmbp is strictly more expressive than the state of the art conformant planner cgp. Furthermore, an experimental evaluation suggests that cmbp is able to deal with uncertainties more eciently than cgp. 1 Introduction The planning via model checking [5, 8, 7, 9] paradigm is based on the interpretation of a pla...","1999-08-10"
955,389383,"NUSMV: a new Symbolic Model Verifier","A. Cimatti; E. Clarke; F. Giunchiglia;","This paper describes NUSMV, a new symbolic model checker developed as a joint project between Carnegie Mellon University (CMU) and Istituto per la Ricerca Scientifica e Tecnolgica (IRST). NUSMV is designed to be a well structured, open, flexible and documented platform for model checking. In order to make NUSMV applicable in technology transfer projects, it was designed to be very robust, close to the standards required by industry, and to allow for expressive specification languages.","1999-03-19"
956,389521,"Planning as Heuristic Search: New Results","Blai Bonet; Depto De Computaci'on;",". In the recent AIPS98 Planning Competition, the hsp planner, based on a forward state search and a suitable domain-independent heuristic, showed that heuristic search planners can be competitive with state of the art Graphplan and Satisfiability planners. hsp solved more problems than the other planners but often took more time or produced longer plans. The bottleneck in hsp is the computation of the heuristic for every new state. In this paper, we reformulate hsp so that this problem is avoided. The new planner, that we call hsp-r, is based on the same ideas and heuristic as hsp, but searches backward from the goal rather than forward from the initial state. We show that this change allows hsp-r to compute the heuristic only once. As a result, hsp-r can produce better plans, often in less time. For example, hsp-r solves each of the 30 logistics problems from Kautz and Selman in less than 3 seconds. This is two orders of magnitude faster than blackbox. At the same time, ...","1999-07-09"
957,389559,"A Fast Mutual Exclusion Algorithm","null","A new solution to the mutual exclusion problem is presented that, in the absence of contention, requires only seven memory accesses. It assumes atomic reads and atomic writes to shared registers. Capsule Review To build a useful computing system from a collection of processors that communicate by sharing memory, but lack any atomic operation more complex than a memory read or write, it is necessary to implement mutual exclusion using only these operations. Solutions to this problem have been known for twenty years, but they are linear in the number of processors. Lamport presents a new algorithm which takes constant time (five writes and two reads) in the absence of contention, which is the normal case. To achieve this performance it sacrifices fairness, which is probably unimportant in practical applications. The paper gives an informal argument that the algorithm's performance in the absence of contention is optimal, and a fairly formal proof of safety and freedom from deadlock, u...","2000-06-26"
958,389869,"Verification of a Multiplier: 64 Bits and Beyond","And Leslie Lamport; Leslie Lamport; R. P. Kurshan;",". Verifying a 64-bit multiplier has a computational complexity that puts it beyond the grasp of current finite-state algorithms, including those based upon homomorphic reduction, the induction principle, and bdd fixed-point algorithms. Theorem proving, while not bound by the same computational constraints, may not be feasible for routinely coping with the complex, low-level details of a real multiplier. We show how to verify such a multiplier by applying COSPAN, a model-checking algorithm, to verify local properties of the complex low-level circuit, and using TLP, a theorem prover based on the Temporal Logic of Actions, to prove that these properties imply the correctness of the multiplier. Both verification steps are automated, and we plan to mechanize the translation between the languages of TLP and COSPAN. 1 Introduction For finite-state systems, it is in principle possible to use model checking to verify properties of a system automatically, with little human intervention. However...","2000-06-27"
959,390163,"Abstraction in Planning via Model Checking","A. Cimatti; F. Giunchiglia; M. Roveri;","Planning via Model Checking is a novel approach to planning. It is based on the reformulation of a planning problem to the exploration of a finite state automaton. Automata exploration can be efficiently performed with Model Checking, a formal verification technique widely applied in design of industrial systems. For very large domains, however, a state explosion can arise. Abstractions can be used to tackle the problem. In this paper we show how Abstraction techniques developed in classical planning can be lifted to the Planning via Model Checking paradigm. Introduction Planning via Model Checking is a novel approach to planning (Cimatti et al. 1997). It is based on the reformulation of a planning problem to the exploration of a finite state automaton. The advantages of this approach are many-fold. First, the domain can be described with an expressive language, allowing for the expression of ramifications, constraints and nondeterministic actions. Second, very efficient mo...","1998-08-13"
960,390309,"Bisimulation Algorithms for Stochastic Process Algebras and their BDD-based Implementation","And Markus Siegle; Holger Hermanns;",". Stochastic process algebras have been introduced in order to enable compositional performance analysis. The size of the state space is a limiting factor, especially if the system consists of many cooperating components. To fight state space explosion, various proposals for compositional aggregation have been made. They rely on minimisation with respect to a congruence relation. This paper addresses the computational complexity of minimisation algorithms and explains how efficient, BDD-based data structures can be employed for this purpose. 1 Introduction Compositional application of stochastic process algebras (SPA) is particularly successful if the system structure can be exploited during Markov chain generation. For this purpose, congruence relations have been developed which justify minimisation of components without touching behavioural properties. Examples of such relations are strong equivalence [22], (strong and weak) Markovian bisimilarity [16] and extended Markovian bisimil...","1970-01-01"
961,390637,"Fast Training Algorithms For Multi-Layer Neural Nets","Richard P. Brent;","Training a multilayer neural net by back-propagation is slow and requires arbitrary choices regarding the number of hidden units and layers. This paper describes an algorithm which is much faster than back-propagation and for which it is not necessary to specify the number of hidden units in advance. The relationship with other fast pattern recognition algorithms, such as algorithms based on k-d trees, is mentioned. The algorithm has been implemented and tested on articial problems such as the parity problem and on real problems arising in speech recognition. Experimental results, including training times and recognition accuracy, are given. Generally, the algorithm achieves accuracy as good as or better than nets trained using back-propagation, and the training process is much faster than back-propagation. Accuracy is comparable to that for the  earest neighbour"" algorithm, which is slower and requires more storage space. Comments Only the Abstract is given here. The full paper ap...","2000-09-23"
962,391828,"A Temporal Logic of Actions","null","In 1977, Pnueli introduced to computer scientists a temporal logic for reasoning about concurrent programs. His logic was simple and elegant, based on the single temporal modality ""forever"", but it was not expressive enough to completely describe programs. Since then, a plethora of more expressive logics have been proposed, all with additional temporal modalities such as ""next"", ""until"", and ""since"". Here, a temporal logic is introduced based only on Pnueli's original modality ""forever"", but with predicates (assertions about a single state) generalized to actions---assertions about pairs of states. This logic has all the expressive power needed to describe and reason about concurrent programs. Much of the temporal reasoning required with other logics is replaced by nontemporal reasoning about actions. vi Perspective by Kevin D. Jones It is generally accepted by the software engineering community that some means of formally specifying software is an important tool in increasing con...","2000-06-27"
963,392298,"HyTech: A Model Checker for Hybrid Systems","Howard Wong-toi; Pei-hsin Ho; Thomas A. Henzinger;","A hybrid system is a dynamical system whose behavior exhibits both discrete and continuous change. A hybrid automaton is a mathematical model for hybrid systems, which combines, in a single formalism, automaton transitions for capturing discrete change with differential equations for capturing continuous change. HyTech is a symbolic model checker for linear hybrid automata, a subclass of hybrid automata that can be analyzed automatically by computing with polyhedral state sets. A key feature of HyTech is its ability to perform parametric analysis, i.e. to determine the values of design parameters for which a linear hybrid automaton satisfies a temporal-logic requirement.","1998-03-18"
964,392541,"An Application Oriented Real-Time Algebra","Adrian Robson; David Kendall; Steven Bradley; William Henderson;","Many attempts have been made to define timed process algebras as a route to formal reasoning about real-time systems. In this paper we argue that existing timed process algebras unsuccessfully try to address all of the aspects which their untimed counterparts do --- specification, design and modelling --- where they would be more useful if they were restricted to one of these roles. Drawing on this, an Application Oriented Real-Time Algebra (AORTA) is introduced, which has special features making it suitable for the design of real-time systems which may need to be formally verified. Keywords: real-time, formal methods, process algebra 1 Introduction Process algebras such as CCS [1], CSP [2] and LOTOS [3] have proved themselves to be useful tools in the formal specification and verification of concurrent communicating systems. One of the reasons for their success is their broad spectrum of uses, from specification of system behaviour to high-level system modelling to parallel...","1998-07-20"
965,393734,"Deductive Modelchecking","null","interpretation of reactive systems. ACM Transactions on Programming Languages and Systems, 19(2):253--291, 1997. [DGH95] Werner Damm, Orna Grumberg, and Hardi Hungar. What if model checking must be truly symbolic. In First Intl. Workshop on Tools and Algorithms for the Construction and Analysis of Systems (TACAS 95), volume 1019 of LNCS, pages 230--244. Springer-Verlag, May 1995. [Eme90] E. Allen Emerson. Temporal and modal logic. In J. van Leeuwen, editor, Handbook of Theoretical Computer Science, volume B, pages 995--1072. Elsevier Science Publishers (North-Holland), 1990. [FG96] Limor Fix and Orna Grumberg. Verification of temporal properties. J. Logic and Computation, 6(3):343--362, 1996. [GS97] Susanne Graf and Hassen Saidi. Construction of abstract state graphs with PVS. In Orna Grumberg, editor, Proc. 9 th Intl. Conference on Computer Aided Verification, volume 1254 of LNCS, pages 72--83. Springer-Verlag, June 1997. [Hun93] Hardi Hungar. Combining model checking and theor...","1999-04-22"
966,394586,"Supervisory Control of a Rapid Thermal Multiprocessor","Silvano Balemi;",": An application of supervisory control theory to a semiconductor manufacturing piece of equipment is presented. This approach allows the flexible design and update of processing ""recipes"" to accommodate frequently changing manufacturing requirements. An input/output interpretation of supervisory control theory is given. This interpretation leads to a generic implementation scheme for manufacturing systems. A synthesis fixpoint algorithm implementation using binary decision diagrams enables the design of supervisors of realistic size. A sample synthesis for an oxide growth recipe is performed on a state space of the order of 10 6 states. The actual implementation of the logic control software for the application under investigation is described. Keywords: Supervisory control theory, discrete event systems, binary decision diagrams, control of manufacturing systems, semiconductor manufacturing, rapid thermal multiprocessing. 1 Introduction The supervisory control theory introduced ...","1997-03-14"
967,394952,"The Concurrency Workbench: A Semantics Based Tool for the Verification of . . .","null","rling, Scotland, 1988. [43] Milner, R. Communication and Concurrency. Prentice Hall 1989. [44] Paige, R. and Tarjan, R.E. ""Three Partition Refinement Algorithms."" SIAM Journal of Computing, v. 16, n. 6, pp. 973--989, December 1987. [45] Parrow, J. ""Submodule Construction as Equation Solving in CCS."" Theoretical Computer Science, v. 68, pp. 175--202, 1989. [46] Parrow, J. ""Verifying a CSMA/CD-Protocol with CCS."" In Proceeding of the Eighth IFIP Symposium on Protocol Specification, Testing, and Verification, pp. 373--387. North-Holland, Amsterdam, 1988. [47] Richier, J., Rodriguez, C., Sifakis, J. and Voiron, J.. ""Verification in XESAR of the Sliding Window Protocol."" In Proceedings of the Seventh IFIP Symposium on Protocol Specification, Testing, and Verification. North-Holland, Amsterdam, 1987. [48] Roy, V. and de Simone, R. ""Auto/Autograph."" In Computer-Aided Verification '90, pp. 477--491.","1995-05-31"
968,395364,"Verification of Real-Time Systems by Successive Over and Under Approximation","And Howard Wong-toi; David L. Dill;",". Automata-theoretic techniques provide a powerful means of verifying finite-bounded systems. However they suffer from state explosion. One approach to this problem is to analyze an abstracted system description. In safety verification, different abstractions can yield true lower or upper approximations of the set of reachable states. Previously, we presented an algorithm [24] which uses simple heuristics to automatically generate finer abstractions until the approximations correctly answer the verification problem. In this paper, we extend the algorithm to include approximations over the system's transition structure as well as its state space. In terms of real-time system verification, this enables us to efficiently verify properties of the full class of timed safety automata augmented with urgency semantics. We describe a case study involving some bounded liveness properties of the MAC sublayer of the Ethernet protocol, based on a description by Weinberg and Zuck. This ...","1997-03-14"
969,396568,"The Existence of Refinement Mappings","Leslie Lamport; Martn Abadi;","Re#nement mappings are used to prove that a lower#level speci#cation cor# rectly implements a higher#level one. We consider speci#cations consisting of a state machine #which may be in#nite#state# that speci#es safety re# quirements# and an arbitrary supplementary property that speci#es liveness requirements. A re#nement mapping from a lower#level speci#cation S 1 to a higher#level one S 2 is a mapping from S 1 #s state space to S 2 #s state space. It maps steps of S 1 #s state machine to steps of S 2 #s state machine and maps behaviors allowed by S 1 to behaviors allowed by S 2 . We show that# un# der reasonable assumptions about the speci#cations# if S 1 implements S 2 # then by adding auxiliary variables to S 1 we can guarantee the existence of a re#nement mapping. This provides a completeness result for a practical# hierarchical speci#cation method. Capsule Review This report deals with the problem of proving that implementations satisfy their speci#cations. Suppose# for example# ...","2001-01-15"
970,397021,"Compositional Minimization of Finite State Systems","Aachener Informatikberichte; Bernhard Steffen; Susanne Graf;","In this paper we develop a compositional method for the construction of the minimal transition system that represents the semantics of a given reactive system. The point of this method is that it exploits structural properties of the reactive system in order to avoid the consideration of large intermediate representations. Central is the use of interface specifications here, which express constraints on the components' communication behaviour, and therefore to control the state explosion caused by the interleavings of actions of communicating parallel components. The effect of the method, which is developed for bisimulation semantics here, depends on the structure of the reactive system under consideration, in particular on the accuracy of the interface specifications. However, its correctness does not: every ""successful"" construction is guaranteed to yield the desired minimal transition system, independently of the correctness of the interface specifications provided by the designer.","1995-05-31"
971,397185,"Symbolic Synthesis of Supervisory Controllers","Howard Wong-toi;","Ramadge and Wonham [1] gave algorithms for finding controllers in their supervisory control framework. Their automatic synthesis techniques are implemented here using binary decision diagrams [2]. This technique of symbolic representation capitalizes on loose coupling between controlled plant components. We are able to synthesize a controller for a wafer-manufacturing plant, for which an explicit representation would have about 10 6 states. 1. Introduction The concepts of feedback, controllability and observability proved to be extremely successful in the analysis and control of continuous state dynamic models. These concepts rely heavily on the differentiability of certain continuous domain functions. In recent years, control researchers applied these ideas to discrete-state event-driven systems. Discrete event dynamic models however, do not have a simple compact system representation. Analysis and procedures for synthesizing control mechanisms typically involve brute force enumer...","1997-03-14"
972,399339,"Guided Synthesis of Control Programs Using UPPAAL","Kim G. Larsen; Paul Pettersson; Thomas Hune;",". In this paper we address the problem of scheduling and synthesizing distributed control programs for a batch production plant. We use a timed automata model of the batch plant and the verication tool Uppaal to solve the scheduling problem. In modeling the plant, we aim at a level of abstraction which is suciently accurate in order that synthesis of control programs from generated timed traces is possible. Consequently, the models quickly become too detailed and complicated for immediate automatic synthesis. In fact, only models of plants producing two batches can be analyzed directly! To overcome this problem, we present a general method allowing the user to guide the model-checker according to heuristically chosen strategies. The guidance is specied by augmenting the model with additional guidance variables and by decorating transitions with extra guards on these. Applying this method have made synthesis of control programs feasible for a plant producing as many as 60 batches. Th...","2000-12-07"
973,402497,"Planning as Model Checking","And Paolo Traverso; Fausto Giunchiglia;",". The goal of this paper is to provide an introduction, with various elements of novelty, to the Planning as Model Checking paradigm. 1 Introduction The key idea underlying the Planning as Model Checking paradigm is that planning problems should be solved model-theoretically. Planning domains are formalized as semantic models. Properties of planning domains are formalized as temporal formulas. Planning is done by verifying whether temporal formulas are true in a semantic model. The most important features of the proposed approach are: -- The approach is well-founded. Planning problems are given a clear and intuitive (semantic) formalization. -- The approach is general. The same framework can be used to tackle most research problems in planning, e.g., planning in deterministic and in nondeterministic domains, conditional and iterative planning, reactive planning. -- The approach is practical. It is possible to devise efficient algorithms that generate plans automatically and that ...","1999-10-18"
974,403583,"Propositional Planning","Michael Paul Fourman;","We describe a general setting for finite-state planning, where planning operators, or actions, act as functions mapping sets of states to sets of states. In particular, we introduce propositional actions, which generalise STRIPS actions. Sets of states may be represented by Binary Decision Diagrams (BDDs), and propositional actions may be directly encoded as efficient operations on BDDs. We describe PropPlan a planner based on this representation, report its performance on a variety of benchmark problems, and discuss its relation to other BDD-based approaches to planning, and to GraphPlan, by which it was inspired.","2000-04-03"
975,404934,"Planning via Model Checking: A Decision Procedure for AR","Alessandro Cimatti; Enrico Giunchiglia; Fausto Giunchiglia; Paolo Traverso;",". In this paper we propose a new approach to planning based on a ""high level action language"", called AR, and ""model checking"". AR is an expressive formalism which is able to handle, among other things, ramifications and non-deterministic effects. We define a decision procedure for planning in AR which is based on ""symbolic model checking "", a technique which has been successfully applied in hardware and software verification. The decision procedure always terminates with an optimal solution or with failure if no solution exists. We have constructed a planner, called mbp, which implements the decision procedure. 1 Introduction A lot of research has focused on the problem of the expressiveness of formalisms for reasoning about action and change. This has lead to the development of various formalisms, e.g. action languages able to deal with the ""frame problem"" and the ""ramification problem"" (see for instance [ 7 ] and [ 11 ] ). So far, however, little success has been obtained ...","1999-10-18"
976,405188,"A Heuristic for Domain Independent Planning and its Use in an Enforced Hill-climbing Algorithm","null",". We present a new heuristic method to evaluate planning states, which is based on solving a relaxation of the planning problem. The solutions to the relaxed problem give a good estimate for the length of a real solution, and they can also be used to guide action selection during planning. Using these informations, we employ a search strategy that combines Hill-climbing with systematic search. The algorithm is complete on what we call deadlock-free domains. Though it does not guarantee the solution plans to be optimal, it does find close to optimal plans in most cases. Often, it solves the problems almost without any search at all. In particular, it outperforms all state-of-the-art planners on a large range of domains. 1 INTRODUCTION The standard approach to obtain a heuristic is to relax the problem P at hand into some easier problem P 0 . The optimal solution length to a situation in P 0 can then be used as an admissible estimate for the optimal solution length of the same situ...","2000-06-08"
977,408033,"Representation of Function Variants for Embedded System Optimization and Synthesis","D. Ziegenbein; Ida Tu Braunschweig; J. Teich; K. Richter; L. Thiele; R. Ernst;","Many embedded systems are implemented with a set of alternative function variants to adapt the system to different applications or environments. This paper proposes a novel approach for the coherent representation and selection of function variants in the different phases of the design process. In this context, the modeling of reconfiguration of system parts is supported in a natural way. Using a real example from the video processing domain, the approach is explained and validated. 1 Introduction Many embedded systems are implemented with a fixed core function and a set of alternative function variants to adapt the system to different applications or environments. Examples are TV sets which can be adapted to different standards or automotive control systems to be used in countries with different emission laws. Function variants are mutually exclusive, i. e. only one variant of a set of alternative functions is selected a time. There may be several of those variant sets in one embedd...","1999-05-17"
978,410249,"Efficiently Computing Static Single Assignment Form and the Control Dependence Graph","null","This paper thus presents strong evidence that these structures can be of practical use in optimization.","1999-05-19"
979,411542,"RSVP: A New Resource ReSerVation Protocol","Deborah Estrin; Lixia Zhang; Scott Shenker; Steve Deering;","this article we describe another.","2000-02-29"
980,413665,"SpecCharts: A VHDL Front-End for Embedded Systems","Daniel D. Gajski; Frank Vahid; Sanjiv Narayan;","VHDL and other hardware description languages have become popular as system specification languages in top-down design. However, their constructs do not support the behavioral specification of embedded systems. We introduce a new conceptual design model, called Program-State Machines, that caters to embedded systems. We then describe the SpecCharts language, an extended version of VHDL, which supports capture of this design model. In conjunction with a translator to VHDL, SpecCharts can be easily incorporated into a VHDL design environment, with the advantages of significantly reduced specification time and fewer errors. The extensions introduced for VHDL are applicable to many other hardware description languages as well. We demonstrate the advantages of using SpecCharts for system specification capture through several experiments. Contents 1 Introduction 3 2 Existing HDL Limitations for Embedded Systems 5 2.1 Sequentially and Concurrently Decomposable activities : : : : : : : : : :...","1998-03-19"
981,416093,"Should Your Specification Language Be Typed?","Lawrence C. Paulson;","Incorporated's LAMBDA system moved from a definedness logic [Scott 1979] to conventional higher-order logic for similar reasons. 2.7 Examples The data structures and related operations found in programming and specification languages are easily represented in set theory. We show how to represent three of these structures: finite lists, records, and objects. 2.7.1 Finite Lists. We represent a finite list of length n as a function with domain 1 . . n, the set {i # N : 1 # i # n} of natural numbers from 1 through n. The set List(L) of all finite lists with elements in the set L is just equal to # {(1 . . n) # L : n # N}. The length Len(s) of a finite list s is defined by Len(s) # = choose n . (n # N) # (dom s = 1 . . n) . (5) List and Len are operators; they cannot be functions. For them to be functions, their domains would have to consist of all sets and all finite lists, respectively, neither of which forms a set. ACM Transactions on Programming Languages and Syst...","2000-06-28"
